,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
0,2023-04-23 03:01:05.539036,35.19458,21.11576,-11.57869,-23.605094058435036,-34.89086955296044,423.9662241446063,Night
1,2023-04-23 03:01:13.137230,35.51893,21.15487,-11.70403,-23.242045306117095,-34.562033879488006,423.8741012601929,Night
2,2023-04-23 03:01:20.680235,35.68872,21.33272,-11.73885,-22.88080065607039,-34.23750610041507,423.7831597353767,Night
3,2023-04-23 03:01:28.226694,35.91228,21.39549,-11.77661,-22.51856709204732,-33.91469414919248,423.69270898842524,Night
4,2023-04-23 03:01:35.767748,36.14845,21.49752,-11.86255,-22.155736747019002,-33.59389254138027,423.6028666356756,Night
5,2023-04-23 03:01:43.308744,36.23972,21.44521,-11.92599,-21.792281298437654,-33.275018645752304,423.5136441982344,Night
6,2023-04-23 03:01:50.856401,36.40968,21.56379,-12.02204,-21.427651340533814,-32.95753983557141,423.4249271738229,Night
7,2023-04-23 03:01:58.399176,36.56825,21.60799,-11.88907,-21.062533845881692,-32.64200326776941,423.33690261337574,Night
8,2023-04-23 03:02:05.942882,36.5721,21.65789,-12.02564,-20.696641526754707,-32.32810676467874,423.24951980966097,Night
9,2023-04-23 03:02:13.484522,36.66793,21.43596,-11.96759,-20.33013625117676,-32.01593754744993,423.16283633799634,Night
10,2023-04-23 03:02:21.033447,36.84032,21.46516,-12.09794,-19.962587713538614,-31.705080806794737,423.07677024708306,Night
11,2023-04-23 03:02:28.572272,36.81505,21.58925,-12.0809,-19.594879191577803,-31.396232188848987,422.99154652507366,Night
12,2023-04-23 03:02:36.120184,36.93527,21.64056,-12.3064,-19.226026783805086,-31.088515621152183,422.9069556025525,Night
13,2023-04-23 03:02:43.671921,36.76323,21.71341,-12.16137,-18.8563612119244,-30.78216370449398,422.8230941314664,Night
14,2023-04-23 03:02:51.206077,36.86761,21.71057,-12.00903,-18.48693272304373,-30.477992953082357,422.7402159551907,Night
